Event,Slug,Script,Episode,What to review,Era,Region,Severity,Category,Anchor (narrator),Why this anchor,Doc voice M,Doc voice F,Anchor wpm,Word ceiling,Words,Est. minutes,Rendered minutes,Drift vs estimate (min),Gate,Perspectives,Perspective titles,Scenes,Rests,Documents read aloud,Voices in script,Cold open (the misconception it refuses),Close (last beat),Written before these rules existed,Chapters,File MB,Listen,Event page
The Industrial Revolution,industrial-revolution,written,rendered,"predates H-11: check any read-aloud quote the record marks attributed, paraphrased, secondhand or written in someone else's voice // predates the unnamed-witness rule: check any quote from a speaker the record does not name says so aloud // predates the per-voice budget: its length was sized against one average rate, not its own anchor // predates the institutional-voice convention: a report or agency may be read in the F voice",modern,,catastrophic,economic,am_michael,"catastrophic economic: dark, but not funereal",bm_daniel,af_aoede,140.0,1946,1911,14.75,14.62,-0.13,clean,5,The Whig account | The Marxist account | The Great Divergence account | The Fossil Capital account | The Subaltern account,4,4,1,F+M+N,"Most people picture the industrial revolution as a machine born in Britain, ahead of the world already. In seventeen fifty that picture is backwards. Britain produced less than a tenth of the world's manufactured goods. India produced almost a quarter, and a weaver in the city of Dacca could out earn a weaver in Lancashire. By nineteen thirteen, India's share had fallen to one point four percent, and Manchester was calling itself the workshop of the world. The machine did not simply arrive in Britain. Something had to happen to everyone else first.","The railway compressed all of it into a single number. The Liverpool and Manchester line opened on the fifteenth of September, eighteen thirty, and moved goods and people at thirty miles an hour, ten times the speed of a canal barge. It needed exact timekeeping to run safely, station to station, and that need became Greenwich Mean Time in eighteen forty seven, then global time zones by eighteen eighty four. The clock that ran Arkwright's shift bells now runs the world's trains.",per-voice length budget (H-07); H-11 paraphrase rule; H-11 secondhand + impersonated voice; unnamed-witness disclosure rule; institutional-voice convention,13,13.4,https://news.voidvision.org/audio/history/industrial-revolution.mp3,https://news.voidvision.org/history/industrial-revolution/
The Iranian Revolution,iranian-revolution,written,rendered,"predates H-11: check any read-aloud quote the record marks attributed, paraphrased, secondhand or written in someone else's voice // predates the unnamed-witness rule: check any quote from a speaker the record does not name says so aloud // predates the per-voice budget: its length was sized against one average rate, not its own anchor // predates the institutional-voice convention: a report or agency may be read in the F voice",contemporary,,catastrophic,revolution,am_michael,"catastrophic revolution: dark, but not funereal",bm_daniel,af_aoede,140.0,1946,1672,13.04,12.78,-0.26,clean,5,"The Islamic Republic | The secular left | The American account | The monarchists | Women's rights, given and taken",4,5,2,M+N,"It started with a newspaper article. One smear piece, about a cleric almost nobody under thirty could remember, placed in a state paper on the order of a government ministry. Thirteen months later a monarchy that traced itself back two and a half thousand years was gone. The mechanism in between is the part worth knowing, and it is not political. It is a funeral custom.","The Islamic Republic declared on the eleventh of February nineteen seventy nine is still governing Iran. Within twenty months it was at war with Iraq, for eight years, with chemical weapons used by both sides and somewhere between half a million and a million dead. In nineteen eighty eight, thousands of political prisoners were hanged on the strength of a single order, and the state denied it for twenty eight years, until a recording of one of its own senior clerics objecting to it was leaked. And the decree that fifteen thousand women marched against on the eighth of March, on the twenty seventh day of the republic, is still the law.",per-voice length budget (H-07); H-11 paraphrase rule; H-11 secondhand + impersonated voice; unnamed-witness disclosure rule; institutional-voice convention,13,11.7,https://news.voidvision.org/audio/history/iranian-revolution.mp3,https://news.voidvision.org/history/iranian-revolution/
The Korean War,korean-war,written,rendered,predates the institutional-voice convention: a report or agency may be read in the F voice,contemporary,,catastrophic,war,bm_lewis,catastrophic war: the gravest voice,bm_george,af_aoede,146.0,2029,1949,14.45,14.73,0.28,clean,5,"American / UN Coalition | North Korean / DPRK, Fatherland Liberation War | South Korean / ROK, 6.25 War | Chinese, War to Resist American Aggression and Aid Korea | Civilian, Divided Families",5,6,3,F+M+N,"You think this war ended. July the twenty seventh, nineteen fifty three. An armistice. The guns went quiet. Look at who signed it. A United States Army general, for the United Nations Command. A North Korean general, for the other side. South Korea refused to sign. Seventy three years later, that is still the only document that ends the fighting. No peace treaty has followed. North and South Korea remain, on paper, at war.","Lee Bok-soon applied for the reunion lottery in nineteen eighty five. She reapplied every year. She died in two thousand seven, at seventy nine years old, still waiting. Her husband's fate was never known.",institutional-voice convention,14,13.5,https://news.voidvision.org/audio/history/korean-war.mp3,https://news.voidvision.org/history/korean-war/
The Mali Empire and Mansa Musa's Pilgrimage,mali-empire-mansa-musa,written,rendered,"gate: warn H-10 // predates H-11: check any read-aloud quote the record marks attributed, paraphrased, secondhand or written in someone else's voice // predates the unnamed-witness rule: check any quote from a speaker the record does not name says so aloud // predates the per-voice budget: its length was sized against one average rate, not its own anchor // predates the institutional-voice convention: a report or agency may be read in the F voice",medieval,,major,empire,bm_george,major empire: mid weight,bm_lewis,af_aoede,145.0,2015,1919,14.33,14.15,-0.18,warn H-10,5,The Mande tradition | The Songhai and the subject peoples | The North African merchants | The postcolonial historians | The Egyptian economy,4,6,2,M+N,"In twenty twelve a website published a list of the richest people who have ever lived, and put a fourteenth century West African king at the top of it with a figure of four hundred billion dollars. Time and the BBC repeated it. The number is not real. Nobody can convert a medieval gold economy into modern dollars. The interesting thing is what the list leaves out. Not how rich the man was. What happened to a city when he walked through it, and what he left behind in a town on the edge of the Sahara.","Musa died around thirteen thirty seven. The succession fell apart, the provinces went, and by the fourteen sixties Timbuktu belonged to Songhai. The Catalan Atlas is in Paris. The manuscripts are in Bamako and in family libraries across the Sahel, some still in the trunks they left in. The griots are still performing, four to eight hours at a time, the same epic. And in Cairo, for twelve years after a man came through on his way to Mecca, the price of gold was wrong.",per-voice length budget (H-07); H-11 paraphrase rule; H-11 secondhand + impersonated voice; unnamed-witness disclosure rule; institutional-voice convention,13,13.0,https://news.voidvision.org/audio/history/mali-empire-mansa-musa.mp3,https://news.voidvision.org/history/mali-empire-mansa-musa/
The Meiji Restoration,meiji-restoration,written,rendered,"predates H-11: check any read-aloud quote the record marks attributed, paraphrased, secondhand or written in someone else's voice // predates the unnamed-witness rule: check any quote from a speaker the record does not name says so aloud // predates the per-voice budget: its length was sized against one average rate, not its own anchor // predates the institutional-voice convention: a report or agency may be read in the F voice",modern,,major,revolution,bm_george,major revolution: mid weight,bm_lewis,af_aoede,145.0,2015,1853,13.88,14.71,0.83,clean,5,The oligarchs | The samurai | The Western observer | The comparativist | The Korean account,5,6,4,M+N,"The movement that opened Japan to the world took power on a promise to throw the world out. Its slogan was sonno joi. Revere the Emperor, Expel the Barbarians. That demand united the opposition to the shogunate through the eighteen sixties, and the barbarians were the Americans, and Britain, and France. Within three years of winning, the leading men of the new government were on a ship to America, and then to Europe, for twenty two months. And the emperor they had sworn to revere was fifteen years old and held no power at all.","In eighteen seventy one, sixty students sailed with the mission that went to audit the West. Five were young women. The youngest was six years old. Her name was Tsuda Umeko. She came home, and in nineteen hundred she founded a university for women, in a country that had given girls compulsory schooling since eighteen seventy two and no political rights at all.",per-voice length budget (H-07); H-11 paraphrase rule; H-11 secondhand + impersonated voice; unnamed-witness disclosure rule; institutional-voice convention,14,13.5,https://news.voidvision.org/audio/history/meiji-restoration.mp3,https://news.voidvision.org/history/meiji-restoration/
The Mongol Empire,mongol-empire,written,rendered,"predates H-11: check any read-aloud quote the record marks attributed, paraphrased, secondhand or written in someone else's voice // predates the unnamed-witness rule: check any quote from a speaker the record does not name says so aloud // predates the per-voice budget: its length was sized against one average rate, not its own anchor // predates the institutional-voice convention: a report or agency may be read in the F voice",medieval,,catastrophic,empire,am_michael,"catastrophic empire: dark, but not funereal",bm_daniel,af_aoede,140.0,1946,1690,13.17,13.14,-0.03,clean,5,The Mongol court | The Chinese court | The Persian world | The Russian principalities | The revisionist argument,5,7,2,M+N,"Think of one man, Genghis Khan, riding out of the steppe and putting all of Eurasia to the sword. The gates of Vienna. The House of Wisdom in Baghdad. The Yangtze river. He died in August of twelve twenty seven, probably on campaign against the Xi Xia kingdom. The Mongol army did not reach Hungary and Poland until twelve forty one, fourteen years after he was gone. Baghdad fell in twelve fifty eight, to his own grandson, thirty one years after he was gone. The conquest of southern China did not finish until twelve seventy nine, fifty two years after he was gone, under another grandson. The empire everyone pictures inside one lifetime took three generations to build. The man whose name it carries saw less than half of it happen.","Genghis Khan's face is on Mongolian currency now, and his name is on the airport at Ulaanbaatar. Fifty four kilometers east of the capital, a stainless steel statue of him on horseback stands forty meters tall. In China, he is classified as a Chinese emperor, the founder of a legitimate dynasty. In Iran, Iraq and Afghanistan, he remains a byword for destruction. A two thousand three genetic study found that sixteen million men alive today carry a Y chromosome lineage traced to his family line.",per-voice length budget (H-07); H-11 paraphrase rule; H-11 secondhand + impersonated voice; unnamed-witness disclosure rule; institutional-voice convention,14,12.0,https://news.voidvision.org/audio/history/mongol-empire.mp3,https://news.voidvision.org/history/mongol-empire/
The Nanjing Massacre,nanjing-massacre,written,rendered,"predates H-11: check any read-aloud quote the record marks attributed, paraphrased, secondhand or written in someone else's voice // predates the unnamed-witness rule: check any quote from a speaker the record does not name says so aloud // predates the per-voice budget: its length was sized against one average rate, not its own anchor // predates the institutional-voice convention: a report or agency may be read in the F voice",contemporary,,catastrophic,genocide,bm_lewis,catastrophic genocide: the gravest voice,bm_george,af_aoede,146.0,2029,1826,13.61,13.5,-0.11,clean,5,Chinese National Memory | Western Witnesses and the Safety Zone | Japanese Historiography and Memory | Survivor Testimony | The Legal Record and Command Responsibility,4,9,2,F+M+N,"Picture Nanjing as a battle. A defending army meets an invading one, the defenders lose, and what follows is the massacre. That is not what happened. Days before Japanese troops reached the walls, the general commanding the city, Tang Shengzhi, swore publicly to hold Nanjing to the last man. Then he crossed the Yangtze himself and left his own soldiers behind, with no orders and no way out. Tens of thousands of them stripped off their uniforms and hid inside the walls, among two hundred thousand civilians who had nowhere else to go. There was no army left to defeat. What the Japanese army spent the next six weeks doing was hunting for one, checkpoint by checkpoint.","The Nanjing memorial has begun casting the footprints of survivors in bronze, one by one, as the last of them die. They were born before nineteen thirty. Most of them are gone now. The bronze is there so that after the last footprint is cast, someone can still stand where they stood.",per-voice length budget (H-07); H-11 paraphrase rule; H-11 secondhand + impersonated voice; unnamed-witness disclosure rule; institutional-voice convention,13,12.4,https://news.voidvision.org/audio/history/nanjing-massacre.mp3,https://news.voidvision.org/history/nanjing-massacre/
The Opium Wars,opium-wars,written,rendered,"predates H-11: check any read-aloud quote the record marks attributed, paraphrased, secondhand or written in someone else's voice // predates the unnamed-witness rule: check any quote from a speaker the record does not name says so aloud // predates the per-voice budget: its length was sized against one average rate, not its own anchor // predates the institutional-voice convention: a report or agency may be read in the F voice",modern,,critical,war,am_michael,critical war,bm_daniel,af_aoede,140.0,1946,1704,13.27,13.4,0.13,clean,5,The British ledger | The Qing court | The nation's rebirth | The trade across three continents | The fields of Bengal,4,6,3,M+N,"You call these the Opium Wars. The country that fought them never did. Forty four warships and four thousand troops sailed for China, and the government that sent them said almost nothing about opium. A vote to censure that war failed by nine votes in Parliament. The treaty that ended it ceded an island, opened five ports, and set an indemnity of twenty one million silver dollars. It never once mentioned the drug that started the fighting.","By the eighteen eighties, China was importing over six thousand tons of opium a year, in a trade that neither war was ever officially fought over. Twelve bronze zodiac heads once stood on a fountain at the Yuanmingyuan. They were looted the week of the burning. Some have gone back. Others are still sitting in private collections and museums somewhere else in the world, and the dispute over them has not stopped.",per-voice length budget (H-07); H-11 paraphrase rule; H-11 secondhand + impersonated voice; unnamed-witness disclosure rule; institutional-voice convention,13,12.3,https://news.voidvision.org/audio/history/opium-wars.mp3,https://news.voidvision.org/history/opium-wars/
The Partition of India,partition-of-india,written,rendered,"predates H-11: check any read-aloud quote the record marks attributed, paraphrased, secondhand or written in someone else's voice // predates the unnamed-witness rule: check any quote from a speaker the record does not name says so aloud // predates the per-voice budget: its length was sized against one average rate, not its own anchor // predates the institutional-voice convention: a report or agency may be read in the F voice",contemporary,,catastrophic,independence,bm_lewis,catastrophic independence: the gravest voice,bm_george,af_aoede,146.0,2029,1904,14.14,14.03,-0.11,clean,5,British Imperial | Indian Nationalist | Pakistani Nationalist | Subaltern and displacement | Women's history,6,5,4,F+M+N,"There is a border in South Asia that two nuclear armed states have fought four wars across, and are still contesting today. You would assume a line like that was drawn carefully. Over years. By people who knew the ground. It was drawn in five weeks, by a man who had never been to India, working from maps that were six years out of date.","The Radcliffe Line left a hundred and sixty two enclaves stranded on the wrong side of the border with what became Bangladesh. Villages inside a country they did not touch. They were not resolved until the Land Boundary Agreement of twenty fifteen. Sixty eight years. And the division did not stop dividing. In nineteen seventy one, Pakistan itself broke along the contradiction it had been founded on, and Bangladesh became a third country born from the first partition. The Punjabi poet Amrita Pritam wrote the lines that the north still remembers Partition by. She addressed them to a poet who had been dead for two hundred years, and asked him to speak. She did not write about politics. She wrote about the rivers. Both states hold nuclear weapons now. They have fought four wars. Kashmir is still contested. A hundred and seventy five thousand square miles. Six year old maps. Five weeks.",per-voice length budget (H-07); H-11 paraphrase rule; H-11 secondhand + impersonated voice; unnamed-witness disclosure rule; institutional-voice convention,15,12.9,https://news.voidvision.org/audio/history/partition-of-india.mp3,https://news.voidvision.org/history/partition-of-india/
The Protestant Reformation,the-reformation,written,rendered,"predates H-11: check any read-aloud quote the record marks attributed, paraphrased, secondhand or written in someone else's voice // predates the unnamed-witness rule: check any quote from a speaker the record does not name says so aloud // predates the per-voice budget: its length was sized against one average rate, not its own anchor // predates the institutional-voice convention: a report or agency may be read in the F voice",early-modern,,catastrophic,cultural,am_michael,"catastrophic cultural: dark, but not funereal",bm_daniel,af_aoede,140.0,1946,1694,13.2,13.29,0.09,clean,5,The Lutheran Reformers | The Catholic Church | The Radical Reformation and the Peasants | The Princes and Sovereignty | Print and the Modern World,5,8,3,F+M+N,"The most famous sentence Martin Luther ever spoke, he did not speak. Here I stand, I can do no other. That line is not recorded on the spot at the Diet of Worms. It was added into the earliest printed account of the day, after the fact. What he did say, on the record, is that his conscience was captive to the Word of God, and that he would not recant. And the man remembered for standing alone against an empire spent his career, three years later, telling princes to hunt down the people who took his own talk of freedom literally.","The door in Wittenberg burned down in a fire in seventeen sixty. What is on the church today is bronze, cast in eighteen fifty eight, the ninety five theses recast in the metal, in Latin, on a door that may not be the one Luther used at all.",per-voice length budget (H-07); H-11 paraphrase rule; H-11 secondhand + impersonated voice; unnamed-witness disclosure rule; institutional-voice convention,14,12.2,https://news.voidvision.org/audio/history/the-reformation.mp3,https://news.voidvision.org/history/the-reformation/
The Rise of Islam,rise-of-islam,written,rendered,"OVER the 15 min format ceiling at 15.43 (audio gate allows 15.5): re-cut the script or accept // predates H-11: check any read-aloud quote the record marks attributed, paraphrased, secondhand or written in someone else's voice // predates the unnamed-witness rule: check any quote from a speaker the record does not name says so aloud // predates the per-voice budget: its length was sized against one average rate, not its own anchor // predates the institutional-voice convention: a report or agency may be read in the F voice",medieval,,catastrophic,political,am_michael,"catastrophic political: dark, but not funereal",bm_daniel,af_aoede,140.0,1946,1937,14.94,15.43,0.49,clean,5,The Sunni tradition | The Shia tradition | Byzantium and Persia | The Western revisionists | The Islamicate civilization,6,7,3,M+N,"Ask when Islam began and most people will say six hundred ten, the night a merchant saw an angel in a cave outside Mecca. The people who wrote the calendar disagreed. The Islamic calendar does not start with that night. It starts twelve years later, in six hundred twenty two, when that merchant and his followers left Mecca for a city two hundred seventy miles north. The cave produced five verses and one believer, his own wife. The emigration produced a government. The calendar remembers the government.","Yazdegerd the Third ran for nine years before he was killed by a miller in Merv, in six hundred fifty one. An empire that had fought Rome and Byzantium to a standstill for seven centuries ceased to exist in fifteen years. A century later, when the Abbasids came for the Umayyads, one prince got out. Abd al-Rahman escaped to Spain and founded an independent emirate at Cordoba, on the far shore of the sea the conquest had never quite closed.",per-voice length budget (H-07); H-11 paraphrase rule; H-11 secondhand + impersonated voice; unnamed-witness disclosure rule; institutional-voice convention,15,14.1,https://news.voidvision.org/audio/history/rise-of-islam.mp3,https://news.voidvision.org/history/rise-of-islam/
The Russian Revolution,russian-revolution,written,rendered,"OVER the 15 min format ceiling at 15.37 (audio gate allows 15.5): re-cut the script or accept // predates H-11: check any read-aloud quote the record marks attributed, paraphrased, secondhand or written in someone else's voice // predates the unnamed-witness rule: check any quote from a speaker the record does not name says so aloud // predates the per-voice budget: its length was sized against one average rate, not its own anchor // predates the institutional-voice convention: a report or agency may be read in the F voice",modern,,catastrophic,revolution,am_michael,"catastrophic revolution: dark, but not funereal",bm_daniel,af_aoede,140.0,1946,1886,14.57,15.37,0.8,clean,5,The Bolsheviks | The Whites | The peasants and the soldiers | The Western powers | The revisionist historians,5,6,4,F+M+N,"You have seen the storming of the Winter Palace. Soldiers pouring over the gates, rifles raised, a fortress taken by force. That footage is real film, shot in nineteen twenty, three years after the fact, staged for the cameras. The actual night had fewer than twenty casualties and no storming at all. The myth became more real than the event it was pretending to show.","The Kronstadt sailors who helped bring the Bolsheviks to power in nineteen seventeen rose against them in March nineteen twenty one. Trotsky's forces crossed the ice of the frozen bay to put them down. The Constituent Assembly the Socialist Revolutionaries had actually won sat for twelve hours before Red Guards cleared the hall. The bodies of Nicholas, Alexandra, and their five children were driven to an abandoned mineshaft, doused in acid, and buried under a forest road. Nobody found them until nineteen ninety one.",per-voice length budget (H-07); H-11 paraphrase rule; H-11 secondhand + impersonated voice; unnamed-witness disclosure rule; institutional-voice convention,14,14.1,https://news.voidvision.org/audio/history/russian-revolution.mp3,https://news.voidvision.org/history/russian-revolution/
The Rwandan Genocide,rwandan-genocide,written,rendered,"gate: warn H-10 // predates H-11: check any read-aloud quote the record marks attributed, paraphrased, secondhand or written in someone else's voice // predates the unnamed-witness rule: check any quote from a speaker the record does not name says so aloud // predates the per-voice budget: its length was sized against one average rate, not its own anchor // predates the institutional-voice convention: a report or agency may be read in the F voice",contemporary,,catastrophic,genocide,bm_lewis,catastrophic genocide: the gravest voice,bm_george,af_aoede,146.0,2029,1739,13.01,12.59,-0.42,warn H-10,5,The survivors | The peacekeepers | The United Nations | The pan-African reading | Rwanda after,3,5,2,F+M+N,"The word used at the time, in newsrooms and in foreign ministries, was tribal. Ancient hatreds. Something that had welled up and would burn itself out. Here is what the record shows. Roadblocks were up across the capital within one hour of the plane coming down. The lists of who to kill had been typed in advance. The peacekeepers from one particular country were murdered first, because the planners had calculated that their government would then leave, and they were right. And the document a militiaman at a roadblock asked you for, the one that decided whether you lived, had been designed by a Belgian colonial administration in the nineteen thirties.","The killing stopped because the rebel army won, in July, and not because anybody intervened. France's safe zone in the southwest, set up in the last weeks, also opened a road out. The organisers crossed it into what is now the Democratic Republic of Congo, rebuilt as armed groups, and the wars that followed there have killed several million more people. The doctrine that states have a responsibility to protect populations from this was adopted by the United Nations in two thousand and five. It is invoked selectively. A hundred days. Something near a million people. Five times the rate of the Nazi camps. And of the fifty thousand who went to the school at Murambi because officials told them it was safe, thirty four were found alive the next morning, among the dead.",per-voice length budget (H-07); H-11 paraphrase rule; H-11 secondhand + impersonated voice; unnamed-witness disclosure rule; institutional-voice convention,12,11.5,https://news.voidvision.org/audio/history/rwandan-genocide.mp3,https://news.voidvision.org/history/rwandan-genocide/
The Scramble for Africa,scramble-for-africa,written,rendered,"predates H-11: check any read-aloud quote the record marks attributed, paraphrased, secondhand or written in someone else's voice // predates the unnamed-witness rule: check any quote from a speaker the record does not name says so aloud // predates the per-voice budget: its length was sized against one average rate, not its own anchor // predates the institutional-voice convention: a report or agency may be read in the F voice",modern,,catastrophic,empire,am_michael,"catastrophic empire: dark, but not funereal",bm_daniel,af_aoede,140.0,1946,1633,12.76,12.85,0.09,clean,5,The colonizers | The kingdoms that resisted | The Pan African critique | The economic ledger | North Africa's own war,3,6,3,F+M+N,"Most people picture the moment they mean by the Scramble for Africa. Fourteen nations leaning over a map in Berlin, dividing a continent with a ruler and a pen. That meeting happened. It ran for one hundred and four days. It drew not one border on any map. What came out of it was a rule. A flag, a garrison, and an administration in place would now beat an older claim made by treaty, or by simply getting there first. The actual taking of the continent took the next thirty years, and none of it was done with a pen.","Ethiopia and Liberia are the only two African states still independent by nineteen fourteen. Forty four of Africa's fifty four nations now sit inside borders drawn at that conference table, or in the treaties that followed it, borders that put at least one hundred seventy seven language and ethnic groups on the wrong side of a line somebody else drew. The rifle that did most of the work fired six hundred rounds a minute. Its name was the Maxim.",per-voice length budget (H-07); H-11 paraphrase rule; H-11 secondhand + impersonated voice; unnamed-witness disclosure rule; institutional-voice convention,12,11.8,https://news.voidvision.org/audio/history/scramble-for-africa.mp3,https://news.voidvision.org/history/scramble-for-africa/
The Silk Road,silk-road,written,rendered,"gate: warn H-10; warn H-10; warn H-10 // predates H-11: check any read-aloud quote the record marks attributed, paraphrased, secondhand or written in someone else's voice // predates the unnamed-witness rule: check any quote from a speaker the record does not name says so aloud // predates the per-voice budget: its length was sized against one average rate, not its own anchor // predates the institutional-voice convention: a report or agency may be read in the F voice",classical,,major,economic,bm_george,major economic: mid weight,bm_lewis,af_aoede,145.0,2015,1801,13.52,13.17,-0.35,warn H-10; warn H-10; warn H-10,5,The Chinese court | The Sogdians | The Buddhist transmission | The Islamic golden age | The disease road,3,4,3,M+N,"Two things about the name. It was invented in eighteen seventy seven, by a German geographer, about four hundred years after the thing it describes had stopped working. Nobody who ever travelled it called it that. And there was no road. There was no single route, no surface, no map. There was a shifting braid of paths that moved with the politics, and the cargo that mattered most on it was not silk.","The network did not collapse. It atrophied. In fourteen ninety eight Vasco da Gama reached India by sea and cut out every middleman between Lisbon and Calicut. A ship carries more than a camel and does not need to be fed across a desert, and bulk trade went to the water. The name arrived four centuries after that, from a geographer in Berlin who never walked it. And the letters that a Sogdian woman wrote to a husband who had stopped answering spent sixteen hundred years in a watchtower on the frontier, in a language that had no readers left, before anyone opened them.",per-voice length budget (H-07); H-11 paraphrase rule; H-11 secondhand + impersonated voice; unnamed-witness disclosure rule; institutional-voice convention,12,12.1,https://news.voidvision.org/audio/history/silk-road.mp3,https://news.voidvision.org/history/silk-road/
The Trail of Tears,trail-of-tears,written,rendered,"predates H-11: check any read-aloud quote the record marks attributed, paraphrased, secondhand or written in someone else's voice // predates the unnamed-witness rule: check any quote from a speaker the record does not name says so aloud // predates the per-voice budget: its length was sized against one average rate, not its own anchor // predates the institutional-voice convention: a report or agency may be read in the F voice",modern,,catastrophic,political,am_michael,"catastrophic political: dark, but not funereal",bm_daniel,af_aoede,140.0,1946,1689,13.16,13.72,0.56,clean,5,The Jacksonian case | The Cherokee Nation | The Georgia settlers | The settler colonial reading | Indigenous sovereignty today,5,6,2,M+N,"Most people think the Cherokee lost this fight in court. They had the strongest case in the history of federal Indian law, and they won it. In eighteen thirty two, in Worcester versus Georgia, Chief Justice John Marshall ruled that Georgia's laws had no force on Cherokee land, and that the Cherokee Nation was a sovereign nation only the federal government could deal with. Andrew Jackson is said to have answered that John Marshall had made his decision, and could now enforce it himself. Whether he used those exact words is disputed. What happened next is not disputed. He ignored the ruling, and six years later marched the Cherokee out at gunpoint anyway.","By the end of the decade, about sixty thousand people had been forced out of the Southeast. Nearly fifteen thousand of them did not survive it. In two thousand twenty, the Supreme Court ruled in McGirt versus Oklahoma that half of Oklahoma's land falls under tribal criminal jurisdiction, resting on the treaties signed during and after removal. The route is now a National Historic Trail, two thousand two hundred miles long, marked out in nineteen eighty seven. Every September, the Cherokee Nation walks part of it again.",per-voice length budget (H-07); H-11 paraphrase rule; H-11 secondhand + impersonated voice; unnamed-witness disclosure rule; institutional-voice convention,14,12.6,https://news.voidvision.org/audio/history/trail-of-tears.mp3,https://news.voidvision.org/history/trail-of-tears/
The Transatlantic Slave Trade,transatlantic-slave-trade,written,rendered,"gate: warn H-10; warn H-10; warn H-10; warn H-10; warn H-10 // predates H-11: check any read-aloud quote the record marks attributed, paraphrased, secondhand or written in someone else's voice // predates the unnamed-witness rule: check any quote from a speaker the record does not name says so aloud // predates the per-voice budget: its length was sized against one average rate, not its own anchor // predates the institutional-voice convention: a report or agency may be read in the F voice",early-modern,,catastrophic,economic,am_michael,"catastrophic economic: dark, but not funereal",bm_daniel,af_aoede,140.0,1946,1902,14.69,14.3,-0.39,warn H-10; warn H-10; warn H-10; warn H-10; warn H-10,5,The European ledger | The diaspora | The African continent | The abolitionists | The African states that sold,4,6,1,M+N,"Most of it did not happen where you think it happened. Twelve and a half million people were put on ships in Africa. Ten point seven million came off them alive in the Americas. Mainland North America received about three hundred and eighty nine thousand of them, which is roughly three in every hundred. Brazil took four point nine million. The Caribbean took four point one million. The trade was an Atlantic system, not an American one, and it was run from ports in Lisbon and Liverpool by companies with shareholders and by captains who filed accounts.","The compensation Britain borrowed to pay slave owners in eighteen thirty three was a debt for a long time. The Treasury finished servicing it in twenty fifteen, which means Black British taxpayers spent their working lives helping to pay it off. Brazil was the last country in the Americas to abolish slavery, in eighteen eighty eight. There are people alive today whose grandparents were born into it. The database at Emory University has reconstructed thirty six thousand of these voyages, from the port books, the insurance records and the captains' accounts. It knows the tonnage of the ships. It knows the names of the captains and the owners and the underwriters. Of the twelve and a half million people, it has almost no names at all.",per-voice length budget (H-07); H-11 paraphrase rule; H-11 secondhand + impersonated voice; unnamed-witness disclosure rule; institutional-voice convention,13,13.1,https://news.voidvision.org/audio/history/transatlantic-slave-trade.mp3,https://news.voidvision.org/history/transatlantic-slave-trade/
The Vietnam War,vietnam-war,written,rendered,"predates H-11: check any read-aloud quote the record marks attributed, paraphrased, secondhand or written in someone else's voice // predates the unnamed-witness rule: check any quote from a speaker the record does not name says so aloud // predates the per-voice budget: its length was sized against one average rate, not its own anchor // predates the institutional-voice convention: a report or agency may be read in the F voice",contemporary,,catastrophic,war,bm_lewis,catastrophic war: the gravest voice,bm_george,af_aoede,146.0,2029,1727,12.93,13.48,0.55,clean,5,American Cold War / Containment | Vietnamese Revolutionary / Anti-Colonial | Anti-War / Pentagon Papers | Laotian and Cambodian / Spillover | Postcolonial / Global South,5,6,4,M+N,"Congress authorized this war five hundred and four votes to two. What it was voting on was a second attack on an American destroyer in the Gulf of Tonkin. The first attack, two days earlier, was real. The second was not: sonar operators had picked up their own ship's propeller wake and read it as torpedoes. NSA documents declassified in two thousand five confirmed it. President Johnson knew within days that the second attack never happened. He escalated anyway.","Maya Lin's black granite wall on the National Mall lists those fifty eight thousand two hundred twenty names, in the order they died. It does not list Vietnamese names.",per-voice length budget (H-07); H-11 paraphrase rule; H-11 secondhand + impersonated voice; unnamed-witness disclosure rule; institutional-voice convention,14,12.4,https://news.voidvision.org/audio/history/vietnam-war.mp3,https://news.voidvision.org/history/vietnam-war/
"Tiananmen Square, 1989",tiananmen-square,written,rendered,"predates H-11: check any read-aloud quote the record marks attributed, paraphrased, secondhand or written in someone else's voice // predates the unnamed-witness rule: check any quote from a speaker the record does not name says so aloud // predates the per-voice budget: its length was sized against one average rate, not its own anchor // predates the institutional-voice convention: a report or agency may be read in the F voice",contemporary,,critical,revolution,bm_george,critical revolution: mid weight,bm_lewis,af_aoede,145.0,2015,1724,12.99,13.06,0.07,clean,5,Chinese Communist Party / State | Student Protesters / Democracy Movement | Foreign Journalist / Witness | Post-Tiananmen Academic / Dissident | Workers' Movement / Labor,5,5,3,F+M+N,"The massacre did not happen in Tiananmen Square. Every year the world uses that name for the third and fourth of June, nineteen eighty nine, and every year the record says something else. The square itself was cleared before dawn on June the fourth, mostly by negotiation between the last students and the soldiers surrounding them. The killing happened on the roads leading in: Chang'an Avenue, Muxidi, Fuxingmen, Xidan. Ordinary residents, not students, caught in the path of an army trying to reach a square that was already emptying. The picture the world kept was not wrong about the violence. It was wrong about where it was.","He died in state custody in twenty seventeen. The only Nobel Peace laureate to do that since Carl von Ossietzky, held by the Nazis in nineteen thirty eight.",per-voice length budget (H-07); H-11 paraphrase rule; H-11 secondhand + impersonated voice; unnamed-witness disclosure rule; institutional-voice convention,14,12.0,https://news.voidvision.org/audio/history/tiananmen-square.mp3,https://news.voidvision.org/history/tiananmen-square/
